"544812","352660549","Терапия","Кафедра ""Терапия""","3 уровень","5"
"544824","123594889","РГФ","Кафедра ""Романо-германская филология""","3 уровень","5"
"544830","79750193","УМУ","Учебно-методическое управление","1 уровень","3"
"544842","31429808","МСМ","Кафедра ""Математика и суперкомпьютерное моделирование""","3 уровень","5"
"544860","31429660","ФЭиУ","Факультет экономики и управления","1 уровень","3"
"544866","544860","БУНиА","Кафедра ""Бухгалтерский учет, налогообложение и аудит""","2 уровень","4"
"544872","352660549","МКиИ","Кафедра ""Медицинская кибернетика и информатика""","3 уровень","5"
"544878","352682235","НиНХ","Кафедра ""Неврология и нейрохирургия""","3 уровень","5"
"544884","352660549","АиГ","Кафедра ""Акушерство и гинекология""","3 уровень","5"
"544926","544518","ГПД","Кафедра ""Государственно-правовые дисциплины""","2 уровень","4"
"544932","27033926","Касса","Касса","2 уровень","3"
"544980","31652849","ОВРиИОВП","Отдел по внеучебной работе и информационному обеспечению воспитательного процесса","2 уровень","4"
"544986","352682235","ГОЗиЗ","Кафедра ""Гигиена, общественное здоровье и здравоохранение""","3 уровень","5"
"544998","352660549","Педиатрия","Кафедра ""Педиатрия""","3 уровень","5"
"545004","352660549","ТОиВЭМ","Кафедра ""Травматология, ортопедия и военно-экстремальная медицина""","3 уровень","5"
"545040","177579741","Санаторий-профилакт","Санаторий-профилакторий","2 уровень","4"
"545052","355953962","МИР","Центр по международному обмену студентов ""Мир""","3 уровень","5"
"545058","79158702","АиД","Отдел аспирантуры и докторантуры","1 уровень","3"
"545070","352660549","ВБ","Кафедра ""Внутренние болезни""","3 уровень","5"
"545082","352685446","ФМТ","Факультет машиностроения и транспорта","2 уровень","4"
"992823","60391072","Редакция УГ","Редакция ""Университетской газеты""","2 уровень","4"
"1538274","31429660","ИМС","Институт международного сотрудничества","1 уровень","3"
"2120542","544530","ОО","Организационный  отдел","2 уровень","3"
"2435298","142387146","КИИУТ","Кузнецкий институт информационных и управленческих технологий","1 уровень","3"
"3796875","364401829","ЦТТ","Центр трансфера технологий","2 уровень","4"
"5115015","79750740","РЦСТиАВ","Региональный центр содействия трудоустройству и адаптации выпускников","1 уровень","3"
"7460530","544032","ОСТЛ","Отдел специальной технической литературы","2 уровень","4"
